Designator,Mid X,Mid Y,Rotation,Layer
_8581,168.370165,-122.28,0.0,top
_8580,169.970165,-122.28,0.0,top
_8579,168.570165,-122.28,0.0,top
_8578,169.770165,-122.28,0.0,top
_8577,169.570165,-122.28,90.0,bottom
_8576,169.970165,-122.28,0.0,top
_8575,169.770165,-122.28,0.0,top
_8574,169.770165,-122.28,90.0,bottom
_8573,168.570165,-122.28,0.0,top
_8572,168.370165,-122.28,0.0,top
_8571,169.570165,-122.28,0.0,top
_8570,169.510165,-122.28,90.0,bottom
_8569,169.570165,-122.28,0.0,top
_8568,169.970165,-122.28,0.0,top
_8567,170.170165,-122.28,90.0,bottom
_8566,169.970165,-122.28,0.0,top
_8565,170.170165,-122.28,0.0,top
_8564,169.510165,-122.28,0.0,top
_8563,170.170165,-122.28,0.0,top
_8562,159.510165,-122.28,0.0,top
_8561,159.310165,-122.28,0.0,top
_8560,159.510165,-122.28,0.0,top
_8559,159.510165,-122.28,0.0,top
_8558,159.510165,-122.28,90.0,bottom
_8557,159.310165,-122.28,0.0,top
_8556,159.510165,-122.28,90.0,bottom
_8555,159.510165,-122.28,0.0,top
_8554,159.510165,-122.28,0.0,top
_8553,159.510165,-122.28,0.0,top
_8552,159.510165,-122.28,0.0,top
_8551,159.310165,-122.28,0.0,top
_8550,159.310165,-122.28,0.0,top
_8549,159.310165,-122.28,0.0,top
_8548,159.510165,-122.28,0.0,top
_8547,159.510165,-122.28,0.0,top
_8546,159.310165,-122.28,0.0,top
_8545,159.310165,-122.28,90.0,bottom
_8544,159.110165,-122.28,90.0,bottom
_8543,159.310165,-122.28,0.0,top
_8542,159.310165,-122.28,0.0,top
_8541,159.110165,-122.28,0.0,top
_8540,159.310165,-122.28,90.0,bottom
_8539,159.310165,-122.28,0.0,top
_8538,159.310165,-122.28,0.0,top
_8537,179.630165,-122.28,0.0,top
_8536,179.830165,-122.28,0.0,top
_8535,179.830165,-122.28,0.0,top
_8534,181.030165,-122.28,0.0,top
_8533,159.110165,-122.28,0.0,top
_8532,181.230165,-122.28,0.0,top
_8531,181.030165,-122.28,0.0,top
_8530,181.030165,-122.28,0.0,top
_8529,161.110165,-122.28,0.0,top
_8528,180.030165,-122.28,0.0,top
_8527,181.030165,-122.28,0.0,top
_8526,179.630165,-122.28,0.0,top
_8525,181.230165,-122.28,0.0,top
_8524,181.030165,-122.28,90.0,bottom
_8523,180.830165,-122.28,0.0,top
_8522,181.030165,-122.28,0.0,top
_8521,179.830165,-122.28,0.0,top
_8520,181.030165,-122.28,0.0,top
_8519,180.830165,-122.28,0.0,top
_8518,179.630165,-122.28,0.0,top
_8517,181.430165,-122.28,0.0,top
_8516,180.830165,-122.28,90.0,bottom
_8515,181.230165,-122.28,0.0,top
_8514,181.430165,-122.28,0.0,top
_8513,180.770165,-122.28,90.0,bottom
_8512,177.070165,-122.28,0.0,top
_8511,181.430165,-122.28,0.0,top
_8510,181.030165,-122.28,90.0,bottom
_8509,178.770165,-122.28,90.0,bottom
_8508,180.570165,-122.28,0.0,top
_8507,178.970165,-122.28,90.0,bottom
_8506,180.570165,-122.28,0.0,top
_8505,179.170165,-122.28,0.0,top
_8504,180.570165,-122.28,0.0,top
_8503,180.370165,-122.28,90.0,bottom
_8502,178.770165,-122.28,0.0,top
_8501,180.370165,-122.28,0.0,top
_8500,167.210165,-122.28,0.0,top
_8499,180.370165,-122.28,0.0,top
_8498,180.570165,-122.28,90.0,bottom
_8497,180.570165,-122.28,0.0,top
_8496,180.770165,-122.28,0.0,top
_8495,180.570165,-122.28,0.0,top
_8494,167.210165,-122.28,0.0,top
_8493,180.570165,-122.28,0.0,top
_8492,167.010165,-122.28,0.0,top
_8491,180.570165,-122.28,0.0,top
_8490,180.570165,-122.28,90.0,bottom
_8489,180.570165,-122.28,0.0,top
_8488,180.370165,-122.28,0.0,top
_8487,166.810165,-122.28,0.0,top
_8486,167.010165,-122.28,0.0,top
_8485,167.010165,-122.28,90.0,bottom
_8484,167.010165,-122.28,0.0,top
_8483,166.810165,-122.28,0.0,top
_8482,166.810165,-122.28,90.0,bottom
_8481,167.010165,-122.28,0.0,top
_8480,167.010165,-122.28,0.0,top
_8479,166.750165,-122.28,0.0,top
_8478,168.170165,-122.28,90.0,bottom
_8477,168.370165,-122.28,0.0,top
_8476,166.750165,-122.28,90.0,bottom
_8475,168.570165,-122.28,0.0,top
_8474,168.370165,-122.28,90.0,bottom
_8473,168.370165,-122.28,0.0,top
_8472,168.170165,-122.28,0.0,top
_8471,167.010165,-122.28,90.0,bottom
_8470,168.370165,-122.28,0.0,top
_8469,167.010165,-122.28,0.0,top
_8468,168.110165,-122.28,0.0,top
_8467,168.110165,-122.28,0.0,top
_8466,168.110165,-122.28,90.0,bottom
_8465,168.570165,-122.28,0.0,top
_8464,168.370165,-122.28,0.0,top
_8463,168.370165,-122.28,90.0,bottom
_8462,167.010165,-122.28,0.0,top
_8461,168.170165,-122.28,0.0,top
_8460,177.410165,-122.28,90.0,bottom
_8459,168.370165,-122.28,0.0,top
_8458,168.370165,-122.28,0.0,top
_8457,177.610165,-122.28,0.0,top
_8456,168.370165,-122.28,0.0,top
_8455,177.610165,-122.28,90.0,bottom
_8454,177.610165,-122.28,90.0,bottom
_8453,168.110165,-122.28,0.0,top
_8452,177.610165,-122.28,0.0,top
_8451,177.610165,-122.28,0.0,top
_8450,177.610165,-122.28,0.0,top
_8449,174.190165,-122.28,0.0,top
_8448,180.570165,-122.28,0.0,top
_8447,180.770165,-122.28,0.0,top
_8446,180.570165,-122.28,0.0,top
_8445,174.190165,-122.28,90.0,bottom
_8444,178.670165,-122.28,0.0,top
_8443,174.730165,-122.28,0.0,top
_8442,174.190165,-122.28,0.0,top
_8441,180.370165,-122.28,0.0,top
_8440,180.570165,-122.28,0.0,top
_8439,178.470165,-122.28,90.0,bottom
_8438,180.570165,-122.28,0.0,top
_8437,178.670165,-122.28,90.0,bottom
_8436,174.190165,-122.28,0.0,top
_8435,174.190165,-122.28,0.0,top
_8434,180.770165,-122.28,0.0,top
_8433,178.470165,-122.28,0.0,top
_8432,180.570165,-122.28,0.0,top
_8431,177.070165,-122.28,0.0,top
_8430,176.870165,-122.28,0.0,top
_8429,179.370165,-122.28,0.0,top
_8428,179.370165,-122.28,0.0,top
_8427,179.170165,-122.28,0.0,top
_8426,179.170165,-122.28,0.0,top
_8425,179.170165,-122.28,0.0,top
_8424,179.170165,-122.28,0.0,top
_8423,177.070165,-122.28,0.0,top
_8422,177.070165,-122.28,90.0,bottom
_8421,179.370165,-122.28,0.0,top
_8420,179.170165,-122.28,0.0,top
_8419,178.970165,-122.28,90.0,bottom
_8418,179.170165,-122.28,90.0,bottom
_8417,179.170165,-122.28,0.0,top
_8416,181.230165,-122.28,0.0,top
_8415,179.170165,-122.28,0.0,top
_8414,180.370165,-122.28,90.0,bottom
_8413,179.170165,-122.28,90.0,bottom
_8412,179.170165,-122.28,0.0,top
_8411,179.830165,-122.28,0.0,top
_8410,179.170165,-122.28,0.0,top
_8409,180.030165,-122.28,0.0,top
_8408,180.170165,-122.28,0.0,top
_8407,178.970165,-122.28,0.0,top
_8406,181.230165,-122.28,0.0,top
_8405,180.370165,-122.28,0.0,top
_8404,178.970165,-122.28,0.0,top
_8403,178.970165,-122.28,0.0,top
_8402,180.030165,-122.28,0.0,top
_8401,180.370165,-122.28,0.0,top
_8400,180.370165,-122.28,90.0,bottom
_8399,180.170165,-122.28,0.0,top
_8398,180.170165,-122.28,90.0,bottom
_8397,179.830165,-122.28,90.0,bottom
_8396,180.030165,-122.28,0.0,top
_8395,180.370165,-122.28,0.0,top
_8394,180.030165,-122.28,90.0,bottom
_8393,175.390165,-122.28,0.0,top
_8392,179.830165,-122.28,0.0,top
_8391,179.830165,-122.28,0.0,top
_8390,179.830165,-122.28,0.0,top
_8389,175.590165,-122.28,0.0,top
_8388,180.370165,-122.28,0.0,top
_8387,175.390165,-122.28,0.0,top
_8386,180.030165,-122.28,0.0,top
_8385,180.030165,-122.28,0.0,top
_8384,175.390165,-122.28,0.0,top
_8383,175.190165,-122.28,0.0,top
_8382,179.830165,-122.28,0.0,top
_8381,179.830165,-122.28,0.0,top
_8380,175.190165,-122.28,0.0,top
_8379,175.390165,-122.28,0.0,top
_8378,175.590165,-122.28,0.0,top
_8377,175.390165,-122.28,90.0,bottom
_8376,175.390165,-122.28,90.0,bottom
_8375,177.270165,-122.28,0.0,top
_8374,175.130165,-122.28,90.0,bottom
_8373,176.870165,-122.28,0.0,top
_8372,177.610165,-122.28,0.0,top
_8371,177.270165,-122.28,0.0,top
_8370,177.270165,-122.28,0.0,top
_8369,176.870165,-122.28,90.0,bottom
_8368,175.390165,-122.28,0.0,top
_8367,177.070165,-122.28,0.0,top
_8366,177.270165,-122.28,0.0,top
_8365,179.170165,-122.28,0.0,top
_8364,177.070165,-122.28,0.0,top
_8363,177.070165,-122.28,0.0,top
_8362,177.070165,-122.28,90.0,bottom
_8361,177.070165,-122.28,0.0,top
_8360,177.070165,-122.28,0.0,top
_8359,177.070165,-122.28,0.0,top
_8358,177.070165,-122.28,0.0,top
_8357,177.070165,-122.28,90.0,bottom
_8356,173.530165,-122.28,90.0,bottom
_8355,173.530165,-122.28,0.0,top
_8354,173.330165,-122.28,0.0,top
_8353,173.530165,-122.28,90.0,bottom
_8352,173.530165,-122.28,0.0,top
_8351,173.330165,-122.28,0.0,top
_8350,173.530165,-122.28,0.0,top
_8349,173.530165,-122.28,90.0,bottom
_8348,173.330165,-122.28,0.0,top
_8347,173.530165,-122.28,0.0,top
_8346,173.530165,-122.28,0.0,top
_8345,173.330165,-122.28,0.0,top
_8344,173.530165,-122.28,0.0,top
_8343,173.530165,-122.28,0.0,top
_8342,173.330165,-122.28,0.0,top
_8341,173.330165,-122.28,90.0,bottom
_8340,173.530165,-122.28,0.0,top
_8339,173.330165,-122.28,0.0,top
_8338,173.330165,-122.28,90.0,bottom
_8337,173.330165,-122.28,0.0,top
_8336,173.330165,-122.28,0.0,top
_8335,180.770165,-122.28,0.0,top
_8334,179.170165,-122.28,90.0,bottom
_8333,178.970165,-122.28,0.0,top
_8332,178.970165,-122.28,0.0,top
_8331,178.970165,-122.28,0.0,top
_8330,173.530165,-122.28,0.0,top
_8329,179.170165,-122.28,0.0,top
_8328,180.770165,-122.28,0.0,top
_8327,178.970165,-122.28,0.0,top
_8326,178.970165,-122.28,0.0,top
_8325,178.970165,-122.28,0.0,top
_8324,180.570165,-122.28,90.0,bottom
_8323,178.970165,-122.28,0.0,top
_8322,178.770165,-122.28,0.0,top
_8321,179.170165,-122.28,0.0,top
_8320,178.970165,-122.28,90.0,bottom
_8319,179.170165,-122.28,0.0,top
_8318,160.910165,-122.28,0.0,top
_8317,164.750165,-122.28,0.0,top
_8316,160.710165,-122.28,0.0,top
_8315,160.910165,-122.28,0.0,top
_8314,160.710165,-122.28,0.0,top
_8313,160.910165,-122.28,0.0,top
_8312,166.550165,-122.28,0.0,top
_8311,166.350165,-122.28,90.0,bottom
_8310,166.550165,-122.28,0.0,top
_8309,164.750165,-122.28,0.0,top
_8308,166.750165,-122.28,0.0,top
_8307,166.550165,-122.28,90.0,bottom
_8306,164.950165,-122.28,0.0,top
_8305,166.350165,-122.28,0.0,top
_8304,166.750165,-122.28,0.0,top
_8303,164.750165,-122.28,90.0,bottom
_8302,166.550165,-122.28,0.0,top
_8301,175.390165,-122.28,0.0,top
_8300,175.190165,-122.28,90.0,bottom
